date,side,px,qty
2023-05-01,BUY,673.3365,297
2023-05-02,SELL,650.6745000000001,297
2023-05-08,BUY,680.3399999999999,294
2023-05-09,SELL,675.662,294
2023-06-06,BUY,678.3389999999999,294
2023-06-08,SELL,662.6685,294
2023-06-12,BUY,695.3475,287
2023-06-13,SELL,748.6255,287
2023-06-14,BUY,707.3534999999999,282
2023-06-15,SELL,705.647,282
2023-06-22,BUY,1243.6215,160
2023-06-23,SELL,1205.3970000000002,160
2023-06-26,BUY,1184.5919999999999,168
2023-06-27,SELL,1119.44,168
2023-06-28,BUY,1224.6119999999999,163
2023-06-29,SELL,1289.355,163
2023-08-18,BUY,1116.558,179
2023-08-21,SELL,1181.409,179
2023-08-23,BUY,1197.5984999999998,167
2023-08-24,SELL,1276.3615,167
2023-08-25,BUY,1240.62,161
2023-08-28,SELL,1220.3895,161
2023-09-08,BUY,1293.6464999999998,154
2023-09-11,SELL,1217.391,154
2023-12-01,BUY,1651.8255,121
2023-12-05,SELL,1926.0365000000002,121
2024-01-19,BUY,3281.64,60
2024-01-25,SELL,3988.005,60
2024-03-08,BUY,8124.0599999999995,24
2024-03-11,SELL,6616.6900000000005,24
2024-04-19,BUY,6193.094999999999,32
2024-04-22,SELL,5767.115000000001,32
2024-09-25,BUY,4602.3,43
2024-09-26,SELL,4592.7025,43
2024-10-01,BUY,4512.255,44
2024-10-02,SELL,4372.8125,44
2024-10-28,BUY,4357.1775,45
2024-10-29,SELL,5057.47,45
2024-10-31,BUY,4732.365,42
2024-11-05,SELL,4712.6425,42
2024-11-06,BUY,4907.452499999999,40
2024-11-07,SELL,4892.552500000001,40
2024-11-12,BUY,5312.655,37
2024-11-13,SELL,5137.43,37
2025-01-07,BUY,4712.355,42
2025-01-08,SELL,4727.635,42
2025-01-09,BUY,4612.304999999999,43
2025-01-10,SELL,4587.705,43
